name,author,img_paths,bounding_boxes,text
Vibrational Medicine,Richard Gerber,dataset\adjusted_dataset\Medical\0000427.jpg,"[[[66, 141], [487, 141], [487, 273], [66, 273]]]","[""ibrational id medicine""]"
Alchemy of Herbs,Rosalee De La Foret,dataset\adjusted_dataset\Medical\0000428.jpg,"[[[151, 30], [354, 30], [354, 108], [151, 108]]]","[""alchemy of herrs""]"
"Eye Movement Desensitization and Reprocessing (EMDR) Therapy, Third Edition",Francine Shapiro,dataset\adjusted_dataset\Medical\0000429.jpg,"[[[0, 2], [490, 2], [490, 512], [0, 512]]]","[""e eye movement desensitization m and reprocessing (emdr) therapy t htad edit! bazic ftinciply piolutuk ed picoeuuies r francine shapiro""]"
Play Therapy,Garry L. Landreth,dataset\adjusted_dataset\Medical\0000430.jpg,"[[[29, 21], [466, 21], [466, 311], [29, 311]]]","[""pa therapy the art ofthe relationthip""]"
Jung: A Very Short Introduction,Anthony Stevens,dataset\adjusted_dataset\Medical\0000431.jpg,[],[]
Dr Podcast Scripts for the Primary FRCA,Rebecca A. Leslie,dataset\adjusted_dataset\Medical\0000432.jpg,"[[[58, 147], [464, 147], [464, 390], [58, 390]]]","[""dr podcast scripts for the primary frca onll acb3rj /z ledlic euiilt k-jllrcn aundrn i guadvin""]"
The Strength Training Anatomy Workout,Frederic Delavier,dataset\adjusted_dataset\Medical\0000433.jpg,"[[[0, 5], [507, 5], [507, 202], [0, 202]]]","[""ilie strength training amatomvt""]"
Clean Gut,Alejandro Junger,dataset\adjusted_dataset\Medical\0000434.jpg,"[[[12, 90], [503, 90], [503, 336], [12, 336]]]","[""clean gut nbak tr""]"
Cure Tooth Decay,Ramiel Nagel,dataset\adjusted_dataset\Medical\0000435.jpg,[],[]
Interview Guide for Evaluation of Dsm-V Disorders,Zimmerman,dataset\adjusted_dataset\Medical\0000436.jpg,"[[[50, 130], [478, 130], [478, 189], [50, 189]]]","[""inberey guldalc croluaricn 034-7 #tha diaoroer jidae konedi gn perininein""]"
The Hormone Reset Diet,Sara Gottfried,dataset\adjusted_dataset\Medical\0000437.jpg,"[[[17, 76], [294, 76], [294, 301], [17, 301]]]","[""hormone reset diet td #a#tnrn tjcc ?77 npnmntn-dt""]"
Trauma-Sensitive Mindfulness,David A. Treleaven,dataset\adjusted_dataset\Medical\0000438.jpg,"[[[30, 82], [482, 82], [482, 168], [30, 168]]]","[""ceiui sensitive flindfu lnets""]"
The Big Fat Activity Book for Pregnant People,Jordan Reid,dataset\adjusted_dataset\Medical\0000439.jpg,"[[[4, 2], [509, 2], [509, 161], [4, 161]]]","[""the big fat activity pook for pregnant people""]"
The American Indian Secrets of Crystal Healing,Luc Bourgault,dataset\adjusted_dataset\Medical\0000440.jpg,"[[[22, 80], [490, 80], [490, 128], [22, 128]]]","[""crystal healing""]"
Counseling with Choice Theory,William Glasser,dataset\adjusted_dataset\Medical\0000441.jpg,"[[[37, 323], [471, 323], [471, 361], [37, 361]]]","[""tthanes renlltitthotiopy""]"
Your Body Speaks Your Mind,Deb Shapiro,dataset\adjusted_dataset\Medical\0000442.jpg,"[[[0, 249], [512, 249], [512, 473], [0, 473]]]","[""your body sgraks your mi dadtastadxc hde jol tot jnd tuolonts oncie td4 ealii""]"
Engaging Autism,Stanley I. Greenspan,dataset\adjusted_dataset\Medical\0000443.jpg,"[[[51, 55], [462, 55], [462, 221], [51, 221]]]","[""engaging autism""]"
The Autoimmune Solution Cookbook,Amy Myers,dataset\adjusted_dataset\Medical\0000444.jpg,"[[[45, 59], [465, 59], [465, 247], [45, 247]]]","[""autoimmune solution cookbook tmamcin anarm""]"
The Myth of Mental Illness,Thomas S. Szasz,dataset\adjusted_dataset\Medical\0000445.jpg,"[[[42, 118], [466, 118], [466, 450], [42, 450]]]","[""the mttt of memtal illness foundations 0l a theory 0i personal conduci""]"
Pharmacology for Anaesthesia and Intensive Care,Tom E. Peck,dataset\adjusted_dataset\Medical\0000446.jpg,"[[[55, 28], [449, 28], [449, 181], [55, 181]]]","[""pharmacology for anaesthesia and intensive care ifech n40 hiz""]"
"Your Spine, Your Yoga",Bernie Clark,dataset\adjusted_dataset\Medical\0000447.jpg,"[[[123, 69], [393, 69], [393, 369], [123, 369]]]","[""youp spine kour ga (be rnie ci6ad""]"
The Complete Book Of Ayurvedic Home Remedies,Vasant Lad,dataset\adjusted_dataset\Medical\0000448.jpg,"[[[0, 0], [512, 0], [512, 232], [0, 232]]]","[""tre coaplet e boor 0f ayurvedic home remedies cjmpeehensite gujde i ihe ancleni healing 61 indla""]"
Spirit Catches You and You Fall Down,Anne Fadiman,dataset\adjusted_dataset\Medical\0000449.jpg,[],[]
Super Immunity,Joel Fuhrman,dataset\adjusted_dataset\Medical\0000450.jpg,"[[[17, 81], [491, 81], [491, 245], [17, 245]]]","[""super immunity dr7 uaee dei""]"
Schema Therapy,Jeffrey Young,dataset\adjusted_dataset\Medical\0000451.jpg,"[[[84, 223], [280, 223], [280, 313], [84, 313]]]","[""schena therapy""]"
T A Today,Ian Stewart,dataset\adjusted_dataset\Medical\0000452.jpg,[],[]
Oxford Handbook of General Practice,Chantal Simon,dataset\adjusted_dataset\Medical\0000453.jpg,"[[[26, 96], [457, 96], [457, 186], [26, 186]]]","[""clcnd kldjoo dn general practice""]"
The Fragrant Mind,Valerie Ann Worwood,dataset\adjusted_dataset\Medical\0000454.jpg,"[[[62, 60], [430, 60], [430, 145], [62, 145]]]","[""fraagrant mind""]"
The Body Remembers Casebook,Babette Rothschild,dataset\adjusted_dataset\Medical\0000455.jpg,[],[]
The Primal Wound: Understanding the Adopted Child,Nancy Verrier,dataset\adjusted_dataset\Medical\0000456.jpg,"[[[60, 34], [458, 34], [458, 210], [60, 210]]]","[""primal wound itri atci""]"
The Low-FODMAP Recipe Book,Lucy Whigham,dataset\adjusted_dataset\Medical\0000457.jpg,"[[[35, 224], [387, 224], [387, 477], [35, 477]]]","[""the low fodmap recipe book runyo tmdkt int cachk tplet bingr gut olcatin in lik""]"
Getting Unstuck in ACT,Russ Harris,dataset\adjusted_dataset\Medical\0000458.jpg,"[[[85, 74], [439, 74], [439, 303], [85, 303]]]","[""getting unstuckin act""]"
Eat Right for Blood Type O,Dr. Peter J. D'Adamo,dataset\adjusted_dataset\Medical\0000459.jpg,"[[[0, 56], [512, 56], [512, 268], [0, 268]]]","[""eat right f4f blood type 0""]"
The Amazing Liver and Gallbladder Flush,Andreas Moritz,dataset\adjusted_dataset\Medical\0000460.jpg,"[[[16, 13], [374, 13], [374, 108], [16, 108]]]","[""the amezing liver and gallbladder fflah""]"
Last'S Anatomy Revised 9e,McMinn,dataset\adjusted_dataset\Medical\0000461.jpg,"[[[48, 0], [456, 0], [456, 149], [48, 149]]]","[""lasts anatomy regionalandapplied""]"
A Colorful Introduction to the Anatomy of the Human Brain,John P. J. Pinel,dataset\adjusted_dataset\Medical\0000462.jpg,"[[[46, 14], [458, 14], [458, 111], [46, 111]]]","[""eolorfukinroaretuto; anaromy hunan brain""]"
Fat for Fuel Ketogenic Cookbook,Joseph Mercola,dataset\adjusted_dataset\Medical\0000463.jpg,"[[[65, 95], [211, 95], [211, 227], [65, 227]]]","[""fat fuel curknk""]"
Psychopath Free,Jackson Mackenzie,dataset\adjusted_dataset\Medical\0000464.jpg,[],[]
Handbook of Hypnotic Suggestions and Metaphors,D. Corydon Hammond,dataset\adjusted_dataset\Medical\0000465.jpg,"[[[112, 43], [465, 43], [465, 291], [112, 291]]]","[""tindiook cf hvnatic dseesens jd metaphhor""]"
Ross & Wilson Anatomy and Physiology in Health and Illness,Grant,dataset\adjusted_dataset\Medical\0000466.jpg,"[[[23, 302], [328, 302], [328, 432], [23, 432]]]","[""ross & wilson anatomianc physiclegy""]"
The Mind-Gut Connection,Emeran Mayer,dataset\adjusted_dataset\Medical\0000467.jpg,"[[[29, 10], [486, 10], [486, 123], [29, 123]]]","[""mind-gut connection""]"
Attachment in Psychotherapy,David J. Wallin,dataset\adjusted_dataset\Medical\0000468.jpg,"[[[8, 225], [500, 225], [500, 281], [8, 281]]]","[""alachment in psychotherapy""]"
The Maudsley Prescribing Guidelines in Psychiatry,David Taylor,dataset\adjusted_dataset\Medical\0000469.jpg,"[[[65, 26], [441, 26], [441, 287], [65, 287]]]","[""the maudsley prescribing guidelines in psychiatry ih eittiitn""]"
On the Move,Oliver Sacks,dataset\adjusted_dataset\Medical\0000470.jpg,"[[[38, 62], [470, 62], [470, 251], [38, 251]]]","[""sacks tn thee mttl itc""]"
The Handbook of Adult Clinical Psychology,Alan Carr,dataset\adjusted_dataset\Medical\0000471.jpg,"[[[219, 149], [487, 149], [487, 251], [219, 251]]]","[""tuhucbonr oi adult clinical psychology""]"
The Beauty Detox Foods,Kimberly Snyder,dataset\adjusted_dataset\Medical\0000472.jpg,"[[[144, 86], [378, 86], [378, 246], [144, 246]]]","[""beauty detox foods""]"
The Body Book,Cameron Diaz,dataset\adjusted_dataset\Medical\0000473.jpg,"[[[38, 220], [504, 220], [504, 337], [38, 337]]]","[""body book emeiux peiz""]"
The Yoga of Herbs,David Frawley,dataset\adjusted_dataset\Medical\0000474.jpg,"[[[108, 55], [409, 55], [409, 179], [108, 179]]]","[""txogaf herbs""]"
My Child Won't Eat,Carlos González,dataset\adjusted_dataset\Medical\0000475.jpg,"[[[32, 24], [495, 24], [495, 167], [32, 167]]]","[""my child wont eatl""]"
Cognitive Behavior Therapy and Eating Disorders,Christopher G. Fairburn,dataset\adjusted_dataset\Medical\0000476.jpg,"[[[121, 176], [450, 176], [450, 423], [121, 423]]]","[""cognitive behavior therapy and eating disorders""]"
The Hot Zone,Richard Preston,dataset\adjusted_dataset\Medical\0000477.jpg,[],[]
Attachment Play,Aletha Jauch Solter,dataset\adjusted_dataset\Medical\0000478.jpg,"[[[21, 354], [486, 354], [486, 436], [21, 436]]]","[""attachment play hor twbrtildems tiur problm: #id pi uuu r""]"
If You Meet Buddha-Kill Him,Sheldon Kopp,dataset\adjusted_dataset\Medical\0000479.jpg,"[[[31, 97], [512, 97], [512, 424], [31, 424]]]","[""if you meet the buddha on the road, kill himi the fllsrmage ci phnheepy fatenis""]"
Deep Nutrition,Catherine Shanahan,dataset\adjusted_dataset\Medical\0000480.jpg,"[[[162, 106], [358, 106], [358, 156], [162, 156]]]","[""deep""]"
Person-Centred Counselling in Action,Brian Thorne,dataset\adjusted_dataset\Medical\0000481.jpg,"[[[59, 54], [441, 54], [441, 104], [59, 104]]]","[""ceuinseling in aatlen""]"
Why We Sleep,Matthew Walker,dataset\adjusted_dataset\Medical\0000482.jpg,[],[]
How to Play the Piano,James Rhodes,dataset\adjusted_dataset\Medical\0000483.jpg,"[[[60, 92], [451, 92], [451, 170], [60, 170]]]","[""how to play the piano""]"
Essential Medical Statistics,Betty R. Kirkwood,dataset\adjusted_dataset\Medical\0000484.jpg,"[[[101, 70], [413, 70], [413, 143], [101, 143]]]","[""medical statistics""]"
Essential Oil Safety,Robert Tisserand,dataset\adjusted_dataset\Medical\0000485.jpg,"[[[94, 69], [414, 69], [414, 180], [94, 180]]]","[""essential oil safety""]"
Coping with Trauma-Related Dissociation,Suzette Boon,dataset\adjusted_dataset\Medical\0000486.jpg,"[[[73, 27], [476, 27], [476, 220], [73, 220]]]","[""coping with trauma-related dissociation skells training for paticnts ond therapista""]"
After the Affair,Janis Abrahms Spring,dataset\adjusted_dataset\Medical\0000487.jpg,[],[]
Clinically Oriented Anatomy,Keith L. Moore,dataset\adjusted_dataset\Medical\0000488.jpg,"[[[54, 73], [459, 73], [459, 303], [54, 303]]]","[""ioor cliienlted keatoumx""]"
How to Beat Worry and Generalised Anxiety Disorder One Step at a Time,Paul Farrand,dataset\adjusted_dataset\Medical\0000489.jpg,"[[[110, 20], [512, 20], [512, 475], [110, 475]]]","[""howv (0 beaf worry and generalised anxiety disorder on stet ututine us\""r 4 jen? has d iuw-jwtcnsic; ( rt aerheili\""inwonh m|u""]"
Medical School Interviews: a Practical Guide to Help You Get That Place at Medical School - Over 150 Questions Analysed. Includes Mini-multi Interviews,George Lee,dataset\adjusted_dataset\Medical\0000490.jpg,[],[]
The School of Life,The School of Life,dataset\adjusted_dataset\Medical\0000491.jpg,"[[[203, 203], [405, 203], [405, 299], [203, 299]]]","[""school df life hbieadl iocowe \""""]"
Comic Strip Conversations,Carol Gray,dataset\adjusted_dataset\Medical\0000492.jpg,"[[[51, 21], [497, 21], [497, 121], [51, 121]]]","[""ohir conversations""]"
The Touch Of Healing,Alice Burmeister,dataset\adjusted_dataset\Medical\0000493.jpg,"[[[8, 138], [506, 138], [506, 210], [8, 210]]]","[""of healing""]"
Do Not Open This Box: Keri Smith Deluxe Boxed Set,Keri Smith,dataset\adjusted_dataset\Medical\0000494.jpg,[],[]
Examination Medicine,Talley,dataset\adjusted_dataset\Medical\0000495.jpg,"[[[30, 169], [337, 169], [337, 243], [30, 243]]]","[""exominotion medicine""]"
The Thyroid Connection,Amy Myers,dataset\adjusted_dataset\Medical\0000496.jpg,"[[[51, 42], [474, 42], [474, 261], [51, 261]]]","[""the thyroid connection rut igueo0l mato @rein-faleiea -0d ooewcor jnd w0510 tn xed""]"
Textbook of Ayurveda,Vasant Lad,dataset\adjusted_dataset\Medical\0000497.jpg,[],[]
Slow Death by Rubber Duck,Rick Smith,dataset\adjusted_dataset\Medical\0000498.jpg,"[[[20, 48], [491, 48], [491, 137], [20, 137]]]","[""slow death ry rurbea ducr""]"
The No-Cry Nap Solution: Guaranteed Gentle Ways to Solve All Your Naptime Problems,Elizabeth Pantley,dataset\adjusted_dataset\Medical\0000499.jpg,[],[]
Reiki And The Seven Chakras,Richard Ellis,dataset\adjusted_dataset\Medical\0000500.jpg,"[[[19, 353], [417, 353], [417, 506], [19, 506]]]","[""reiki atid tle scven chakras yur essbiwa gutde""]"
CBT Toolbox for Children and Adolescents,Lisa Phifer,dataset\adjusted_dataset\Medical\0000501.jpg,"[[[140, 38], [376, 38], [376, 216], [140, 216]]]","[""cbt toolbox for children & adolescents""]"
Delavier's Stretching Anatomy,Frederic Delavier,dataset\adjusted_dataset\Medical\0000502.jpg,"[[[290, 414], [502, 414], [502, 473], [290, 473]]]","[""rederlc deljve #eclmincc7 clnianl""]"
Dynamic Alignment Through Imagery,Eric Franklin,dataset\adjusted_dataset\Medical\0000503.jpg,"[[[110, 25], [485, 25], [485, 303], [110, 303]]]","[""dynamc alignment through #agery 64\""mto] emntrjojd fdtnnedsa""]"
Anxiety and Panic,Harry Barry,dataset\adjusted_dataset\Medical\0000504.jpg,[],[]
Jarvis'S Physical Examination and Health Assessment Anz 2e,Forbes,dataset\adjusted_dataset\Medical\0000505.jpg,"[[[28, 75], [474, 75], [474, 171], [28, 171]]]","[""physicalexamination  health assessment 20""]"
The Nervous System Anatomical Chart,Anatomical Chart Company,dataset\adjusted_dataset\Medical\0000506.jpg,"[[[78, 7], [441, 7], [441, 32], [78, 32]]]","[""tie rervovs arbtem""]"
Bowls of Goodness: Vibrant Vegetarian Recipes Full of Nourishment,Nina Olsson,dataset\adjusted_dataset\Medical\0000507.jpg,"[[[79, 17], [438, 17], [438, 107], [79, 107]]]","[""bowls of goodness""]"
Principles of Physiology for the Anaesthetist,Peter Kam,dataset\adjusted_dataset\Medical\0000508.jpg,"[[[77, 17], [440, 17], [440, 178], [77, 178]]]","[""principles of physiology for the anaesthetist thipd tmtti?n""]"
"Eat Rich, Live Long",Ivor Cummins,dataset\adjusted_dataset\Medical\0000509.jpg,[],[]
Healing the Child Within,Charles L. Whitfield,dataset\adjusted_dataset\Medical\0000510.jpg,"[[[114, 55], [460, 55], [460, 266], [114, 266]]]","[""healing ni chil within""]"
Wreck This Journal (Duct Tape),Keri Smith,dataset\adjusted_dataset\Medical\0000511.jpg,"[[[132, 128], [371, 128], [371, 283], [132, 283]]]","[""wreck this journal""]"
The Complete Homeopathy Handbook,Miranda Castro,dataset\adjusted_dataset\Medical\0000512.jpg,"[[[103, 61], [409, 61], [409, 287], [103, 287]]]","[""tie complete hcmmkothy handbock wetc tnek #nbdn ran llaan l aujejntt iutn tnai""]"
The Food Medic for Life,Dr Hazel Wallace,dataset\adjusted_dataset\Medical\0000513.jpg,"[[[217, 97], [501, 97], [501, 247], [217, 247]]]","[""food medic for life""]"
Starving the Anger Gremlin for Children Aged 5-9,Kate Collins-Donnelly,dataset\adjusted_dataset\Medical\0000514.jpg,"[[[15, 23], [478, 23], [478, 247], [15, 247]]]","[""starving fhe erton #45 anger; 3n \"" gremlin pxoisx""]"
Social Skills Training,Ph D Jed E Baker,dataset\adjusted_dataset\Medical\0000515.jpg,"[[[37, 11], [418, 11], [418, 212], [37, 212]]]","[""social skills training""]"
Why We Sleep,Matthew Walker,dataset\adjusted_dataset\Medical\0000516.jpg,[],[]
The Pleasure Trap,Douglas J Lisle,dataset\adjusted_dataset\Medical\0000517.jpg,"[[[26, 14], [449, 14], [449, 188], [26, 188]]]","[""hc pleasure trad""]"
Compassion Focused Therapy,Prof Paul Gilbert,dataset\adjusted_dataset\Medical\0000518.jpg,"[[[84, 211], [396, 211], [396, 352], [84, 352]]]","[""eumpasslon focusad therpy""]"
"Mindfulness-Based Cognitive Therapy for Depression, Second Edition",Zindel V. Segal,dataset\adjusted_dataset\Medical\0000519.jpg,"[[[30, 242], [473, 242], [473, 496], [30, 496]]]","[""mindfulness-based cognicive therapy for deptession zindel u seval mark g. wiama jjohn 0 tcasuulc""]"
Illustrated Textbook of Paediatrics,Tom Lissauer,dataset\adjusted_dataset\Medical\0000520.jpg,"[[[72, 146], [496, 146], [496, 260], [72, 260]]]","[""ilustrated textbopk of paediatrics""]"
Radiant - Eat Your Way to Healthy Skin,Hanna Sillitoe,dataset\adjusted_dataset\Medical\0000521.jpg,[],[]
Migraine,Oliver Sacks,dataset\adjusted_dataset\Medical\0000522.jpg,"[[[12, 288], [506, 288], [506, 396], [12, 396]]]","[""oliven sacle migraine""]"
Three Birds Renovations,Bonnie Hindmarsh,dataset\adjusted_dataset\Medical\0000523.jpg,"[[[60, 18], [483, 18], [483, 132], [60, 132]]]","[""hvrebids r e hovation;""]"
Oxford Handbook of Clinical Medicine and Oxford Assess and Progress: Clinical Medicine Pack,Murray Longmore,dataset\adjusted_dataset\Medical\0000524.jpg,"[[[12, 83], [470, 83], [470, 220], [12, 220]]]","[""gxrecd axndezck cf clinical medicine oxrdaaxan; clinical mmedicine""]"
The Iodine Crisis,Lynne Farrow,dataset\adjusted_dataset\Medical\0000525.jpg,"[[[44, 33], [477, 33], [477, 155], [44, 155]]]","[""the todine crisis""]"
Coconut Cures,Bruce Fife,dataset\adjusted_dataset\Medical\0000526.jpg,[],[]
Taking Charge of Adult ADHD,Russell A. Barkley,dataset\adjusted_dataset\Medical\0000527.jpg,"[[[42, 33], [476, 33], [476, 403], [42, 403]]]","[""taking charge ofadult adhd @rtckcopct #hueytuuem jneded bi asi jeacl? jo ] alie hnt tu fro1] w4htl vext""]"
The Body Electric,Robert O. Becker,dataset\adjusted_dataset\Medical\0000528.jpg,"[[[15, 169], [494, 169], [494, 404], [15, 404]]]","[""body electric""]"
Messages From The Masters,Brian Weiss,dataset\adjusted_dataset\Medical\0000529.jpg,"[[[29, 63], [485, 63], [485, 143], [29, 143]]]","[""messages from the masters""]"
The Unofficial Guide to Passing OSCEs,Zeshan Qureshi,dataset\adjusted_dataset\Medical\0000530.jpg,[],[]
The Wahls Protocol,Terry Wahls,dataset\adjusted_dataset\Medical\0000531.jpg,"[[[64, 420], [448, 420], [448, 491], [64, 491]]]","[""dr terry wahls 347 4d er unti=""]"
Working Stiff,Judy Melinek,dataset\adjusted_dataset\Medical\0000532.jpg,[],[]
The Fast Metabolism Diet,Haylie Pomroy,dataset\adjusted_dataset\Medical\0000533.jpg,"[[[20, 4], [496, 4], [496, 501], [20, 501]]]","[""lose up to 20 lbs in 28 days the fast metabolism diet eltcr haylie pomroy""]"
Mindfulness for Life,Stephen McKenzie,dataset\adjusted_dataset\Medical\0000534.jpg,"[[[50, 56], [463, 56], [463, 202], [50, 202]]]","[""mindfulness for life txin 453 pendnnaer yollicon @n imomdtour lrr""]"
Medical Herbalism,David Hoffmann,dataset\adjusted_dataset\Medical\0000535.jpg,"[[[17, 0], [493, 0], [493, 212], [17, 212]]]","[""medical herbalism the sceence and practice cf herbal medcne""]"
Molecules of Emotion The Science Behind Mind Body Medicine,Candace Pert,dataset\adjusted_dataset\Medical\0000536.jpg,"[[[21, 133], [496, 133], [496, 401], [21, 401]]]","[""molecules emation tae agierce eatn d mtnd ddot t edtgtn e""]"
Concise Medical Dictionary,Elizabeth Martin,dataset\adjusted_dataset\Medical\0000537.jpg,"[[[95, 201], [418, 201], [418, 354], [95, 354]]]","[""concise medical dicttona ry""]"
Pocket Guide to Interpersonal Neurobiology,Daniel J. Siegel,dataset\adjusted_dataset\Medical\0000538.jpg,"[[[27, 87], [481, 87], [481, 173], [27, 173]]]","[""interpersonal neurobiology""]"
Helping Your Child with Extreme Picky Eating,Katja Rowell MD,dataset\adjusted_dataset\Medical\0000539.jpg,"[[[11, 179], [503, 179], [503, 501], [11, 501]]]","[""helping your child with extreme picky earing stn buinfi !anlt hr4 irnruninunrfan lallnttfinnl kuetalmn _ td eutt dicuncu ttix konlmj jenrtmtemtn r ihhemtar mdt""]"
Life Lessons from a Brain Surgeon,Rahul Jandial,dataset\adjusted_dataset\Medical\0000540.jpg,"[[[79, 183], [429, 183], [429, 323], [79, 323]]]","[""life lessons from a brain surgeon""]"
Your Inner Fish,Neil Shubin,dataset\adjusted_dataset\Medical\0000541.jpg,"[[[39, 79], [489, 79], [489, 241], [39, 241]]]","[""shubin tjur inner fish""]"
Learning Emotion-Focused Therapy,Robert Elliott,dataset\adjusted_dataset\Medical\0000542.jpg,"[[[23, 13], [475, 13], [475, 75], [23, 75]]]","[""learning""]"
The Immune System Recovery Plan,Dr Susan Blum,dataset\adjusted_dataset\Medical\0000543.jpg,"[[[27, 247], [485, 247], [485, 289], [27, 289]]]","[""recovery plan""]"
The Concise Human Body Book,DK,dataset\adjusted_dataset\Medical\0000544.jpg,"[[[35, 341], [491, 341], [491, 493], [35, 493]]]","[""human body book goyu""]"
Fresh Vegetable and Fruit Juices,Norman W. Walker,dataset\adjusted_dataset\Medical\0000545.jpg,[],[]
Ghost Boy,Martin Pistorius,dataset\adjusted_dataset\Medical\0000546.jpg,[],[]
Neurology Pocketcard Set,Sebastian Stuckrad-Barre,dataset\adjusted_dataset\Medical\0000547.jpg,,
"Bountiful, Beautiful, Blissful",Gurmukh Kaur Khalsa,dataset\adjusted_dataset\Medical\0000548.jpg,"[[[39, 0], [485, 0], [485, 111], [39, 111]]]","[""b o u ntt[ful bea4t[fh l blisseul""]"
Counselling Adolescents,Kathryn Geldard,dataset\adjusted_dataset\Medical\0000549.jpg,"[[[23, 80], [472, 80], [472, 169], [23, 169]]]","[""counselling adolesrents the atejitie tnaorch ltapk""]"
The Vital Psoas Muscle,Jo Ann Staugaard-Jones,dataset\adjusted_dataset\Medical\0000550.jpg,"[[[259, 123], [488, 123], [488, 368], [259, 368]]]","[""the vital psoas muscle connreo- flaics bnulz4i, and fnmbri het-bellg""]"
"First Aid for the USMLE Step 2 CK, Ninth Edition",Tao Le,dataset\adjusted_dataset\Medical\0000551.jpg,"[[[12, 5], [503, 5], [503, 393], [12, 393]]]","[""first aid fre usmle step 2 ck clinical knowledge inn edit etudent-[v- snood mmd eatli \"" nat i blea""]"
DBT Made Simple,Sheri Van Dijk,dataset\adjusted_dataset\Medical\0000552.jpg,"[[[80, 140], [437, 140], [437, 302], [80, 302]]]","[""dbt made simple""]"
LEGO (R)-Based Therapy,Daniel B. LeGoff,dataset\adjusted_dataset\Medical\0000553.jpg,[],[]
Think Like a Pancreas,Gary Scheiner,dataset\adjusted_dataset\Medical\0000554.jpg,"[[[12, 455], [497, 455], [497, 506], [12, 506]]]","[""gary scheiner aei, cde""]"
Why Do I Still Have Thyroid Symptoms? When My Lab Tests Are Normal,Datis Kharrazian,dataset\adjusted_dataset\Medical\0000555.jpg,"[[[18, 39], [495, 39], [495, 346], [18, 346]]]","[""way do [ siill have tayroid symptoms? iyhen eeln lrtestsx ncrmal""]"
Attachment-Focused Parenting,Daniel A. Hughes,dataset\adjusted_dataset\Medical\0000556.jpg,"[[[177, 57], [485, 57], [485, 175], [177, 175]]]","[""ttachmert dcused pa rentin g""]"
Oxford Handbook of Clinical Surgery,Greg McLatchie,dataset\adjusted_dataset\Medical\0000557.jpg,"[[[38, 98], [458, 98], [458, 186], [38, 186]]]","[""dedr] andeccr df clinical surgert""]"
Attachment in Psychotherapy,David J. Wallin,dataset\adjusted_dataset\Medical\0000558.jpg,"[[[6, 226], [504, 226], [504, 278], [6, 278]]]","[""atfachnent in psycholherapy""]"
The Schema Therapy Clinician's Guide,Joan M. Farrell,dataset\adjusted_dataset\Medical\0000559.jpg,"[[[24, 21], [490, 21], [490, 91], [24, 91]]]","[""the schema therapy clinican5 guide""]"
Talking Back to OCD,John S. March,dataset\adjusted_dataset\Medical\0000560.jpg,[],[]
The Wahls Protocol,Terry Wahls,dataset\adjusted_dataset\Medical\0000561.jpg,"[[[29, 439], [489, 439], [489, 479], [29, 479]]]","[""terrt wahls  vld""]"
The Brain's Way of Healing,Norman Doidge,dataset\adjusted_dataset\Medical\0000562.jpg,"[[[63, 342], [455, 342], [455, 482], [63, 482]]]","[""tk brain\""$ way healing""]"
The Autoimmune Paleo Cookbook,Mickey Trescott,dataset\adjusted_dataset\Medical\0000563.jpg,"[[[60, 27], [469, 27], [469, 143], [60, 143]]]","[""the autoimmune paleo cookbook nicce! tklzui 4tp futy""]"
Admissions,Henry Marsh,dataset\adjusted_dataset\Medical\0000564.jpg,"[[[33, 217], [479, 217], [479, 261], [33, 261]]]","[""admissicns""]"
"Healthy Sleep Habits, Happy Child",Marc Weissbluth,dataset\adjusted_dataset\Medical\0000565.jpg,"[[[17, 220], [488, 220], [488, 499], [17, 499]]]","[""healthy sleep habits happy child ster-by-sep pcgcmto jdt 0gcodnijnts%26p dr mijc wncisshlu""]"
The Pocket Guide to the DSM-5 (R) Diagnostic Exam,Abraham M. Nussbaum,dataset\adjusted_dataset\Medical\0000566.jpg,"[[[71, 89], [443, 89], [443, 282], [71, 282]]]","[""pocket guidz hche dsn-5 diagnostic exam""]"
The Drama Of Being A Child,Alice Miller,dataset\adjusted_dataset\Medical\0000567.jpg,"[[[0, 276], [512, 276], [512, 499], [0, 499]]]","[""alice miller the drana ol being # child""]"
Anatomy and Physiology For Dummies,Erin Odya,dataset\adjusted_dataset\Medical\0000568.jpg,"[[[75, 85], [483, 85], [483, 241], [75, 241]]]","[""anatomy & physiology dummies""]"
Publication Manual of the American Psychological Association,American Psychological Association,dataset\adjusted_dataset\Medical\0000569.jpg,[],[]
The Wicked Good Ketogenic Diet Cookbook,Amanda C Hughes,dataset\adjusted_dataset\Medical\0000570.jpg,"[[[5, 70], [477, 70], [477, 249], [5, 249]]]","[""ab wicked goqd ketogenic djiel cookbook""]"
Oxford Handbook of Clinical Specialties,Andrew Baldwin,dataset\adjusted_dataset\Medical\0000571.jpg,"[[[34, 87], [464, 87], [464, 176], [34, 176]]]","[""dnfoxdhandadok df clinical specialties""]"
The Conversation Train,Joel Shaul,dataset\adjusted_dataset\Medical\0000572.jpg,"[[[7, 203], [502, 203], [502, 495], [7, 495]]]","[""conversation hmli tpain:""]"
The Autistic Brain,Temple Grandin,dataset\adjusted_dataset\Medical\0000573.jpg,"[[[20, 232], [496, 232], [496, 284], [20, 284]]]","[""au tistic""]"
